Arbitrary start time (ms),S13 dx/dt (mm/s),S14 dx/dt (mm/s),S15 dx/dt (mm/s),S16 dx/dt (mm/s),S17 dx/dt (mm/s),S18 dx/dt (mm/s),S19 dx/dt (mm/s),S20 dx/dt (mm/s),S21 dx/dt (mm/s),S22 dx/dt (mm/s),S23 dx/dt (mm/s)
0.0,89.33437894598757,84.61763373986498,713.384374472406,89.24391839400158,94.73902247180965,90.1837782242964,89.01915885815995,92.09102872034427,87.88096950752082,99.66709130253263,91.84967083797083
0.1,113.57665149546067,104.00205907614847,1061.5323897246449,112.1486763491898,119.96376953618093,112.63769328024541,109.5049677707007,117.1961596793347,110.89048770715037,124.60432622107427,115.96535159128175
0.2,139.91728596067387,126.41310307516534,1741.8346379891645,137.6628821958699,148.58235052315223,138.6245755094211,133.03352320746927,145.88307380960978,136.31263128217662,153.41571061696428,143.32247375252095
0.30000000000000004,168.42926573360245,152.12791285704972,2384.105388556395,165.63928980928702,180.25573885437944,168.031891319624,159.78829570371542,177.95598155259486,164.1117231338238,186.2629073764257,174.0585923505428
0.4,199.25601298381818,181.41719677714198,2978.203466390056,195.96260015190987,214.54881432134084,200.62239277478392,189.89432443617628,213.18083955352523,194.30557456075246,223.18725500155594,208.22221228399343
0.5,232.55012895563428,214.5939383603884,3518.740431800792,228.53566869627485,250.96494006279988,236.05643551152625,223.36045994793682,251.27731419103574,226.9388069754476,264.06311065726794,245.72266318045172
0.6000000000000001,268.40162816426215,252.00564391410995,4006.0459874370044,263.2631060481496,289.00419823798154,273.93843842332114,260.0601782944448,291.931542599278,262.04188194302037,308.60256309612157,286.26862739314765
0.7000000000000001,306.7606475388996,294.0286874974487,4446.407837341929,300.02118609846667,328.21336539313023,313.8422997005729,299.7201133507502,334.77421187341355,299.6042454611739,356.3455295056781,329.3980277499394
0.8,347.35610270278545,340.9835669793795,1940.7337356442422,338.61445508477055,368.2124153425442,355.3183936077074,341.9085034249649,379.36230654223715,339.5192208802103,406.64291983999846,374.5040922689106
0.9,389.7325915005356,392.99382296120496,1746.3614226770567,378.75878721023406,408.71346574646134,397.9113194105707,386.0533503905006,425.17037277780355,381.56045905224164,458.69570185230765,420.8989245660057
1.0,433.2510807819166,449.8615408334543,3751.5474280345697,420.09522568604257,449.5065824619855,441.1508176156562,431.4819224072628,471.58044315948257,425.4126001285264,511.5752426496409,467.8943385687128
1.1,477.12203169281565,510.8522613579534,6035.324964498255,462.2429599578349,490.44580436314806,484.56739156220897,477.5097047121198,517.9032754966636,470.6822708408772,564.2719449128375,514.8644712039493
1.2000000000000002,520.5128508634822,574.6347193923563,6476.193702639349,504.84935029606834,531.4267350104121,527.7108483869446,523.4663470952078,563.419705971439,516.9683853546155,615.737135201453,561.2925213382077
1.3,562.6622740687191,639.3017605830481,6954.43677713493,547.652249624646,572.37439228116,570.1574121070344,568.7568235134514,607.4392695256673,563.8959835158469,664.9481475397843,606.7797537690293
1.4000000000000001,602.9429436170913,702.4773337638889,7464.427231229606,590.53329782044,613.2237692167843,611.5619049148615,612.913573194174,649.3667048091116,611.1486466318008,711.013798740588,651.043299958455
1.5,640.9905493722862,761.5981903870543,5325.6313753465165,633.5417920621285,653.9543410236358,651.689425105318,655.6115490634096,688.7711876379201,658.5091732841686,753.2282853060008,693.9223673458429
1.6,676.7487115410892,814.2622741092731,2833.1877652444864,676.8839363740914,694.6057078226687,690.4489751599187,696.672589863263,725.4586843276703,705.8265456647273,791.1714443798475,735.3451527921851
1.7000000000000002,710.4357092162924,858.5893330207264,2988.9396397833534,720.8672308792868,735.2993851884338,727.9343889598314,736.068193855296,759.5011180063476,752.9855495317645,824.7625733377836,775.3159653237561
1.8,742.5855046654668,893.5520662333573,3744.9659223250333,765.822146565234,776.2676049753513,764.4117038183527,773.9413305359619,791.25028066469,799.8953344514118,854.3020688335656,813.9328341240792
1.9000000000000001,774.0117234305677,919.1720033714737,4834.616382739993,812.0250157440745,817.8203464404753,800.3053617778503,810.5713780457559,821.3368983508412,846.4340973148168,880.5083244068161,851.3892858445371
2.0,805.7084899223579,936.5466122534103,1318.2192467321925,859.5982289602697,860.2923877192362,836.1838456562269,846.3753464627401,850.6145550768208,892.4159042026957,904.4520853182999,887.9887577415702
2.1,838.7976441616489,947.7355983466124,1337.689183054407,908.4633627190636,903.9946980356913,872.6996798003233,881.9029724474806,880.1048172699413,937.6181215550228,927.5206333250896,924.1328506857107
2.2,874.4455282231661,955.5232929205802,10141.278217315908,958.3292185375203,949.1285531492805,910.5224050403843,917.779149449958,910.9073285071383,981.7844194639921,951.3187743567369,960.3146883376814
2.3000000000000003,913.7119258276567,963.0828605065468,10254.732718716175,1008.7351657506072,995.7297861144485,950.291549792828,954.6699579460579,944.0966547304881,1024.6790794388678,977.523751201915,997.0838079197789
2.4000000000000004,957.4799134787507,973.6491416714165,10412.49964104877,1059.1365622763913,1043.6881862522953,992.5682445651489,993.2480608028698,980.632852891398,1066.1598750783392,1007.7558812680509,1035.0013741702628
2.5,1006.3367683022473,990.1958730170862,10639.51839840653,1109.017530924316,1092.7604993724713,1037.7774826860943,1034.1102787014893,1021.2637316339786,1106.2535764869747,1043.4061160031818,1074.5881819663102
2.6,1060.4871638190311,1015.139549741064,10936.85959457623,1158.0463525052332,1142.6711290544872,1086.184370087122,1077.7411550395445,1066.4573736300704,1145.2326438036505,1085.4807058376225,1116.2634513635473
2.7,1119.695897253873,1050.1592839319776,11277.700605618538,1206.1399218761344,1193.1942718450387,1137.8767877118564,1124.49123991038,1116.3668080172008,1183.6657019477686,1134.4976991045671,1160.303420584763
2.8000000000000003,1183.279849206104,1096.041975983408,11610.187692228586,1253.5490262842682,1244.2351406782798,1192.7976517922793,1174.5452493074865,1170.8373121285497,1222.4040498039917,1190.4230784744755,1206.7728589681446
2.9000000000000004,1250.193638286383,1152.6149658595511,3955.6144259344455,1300.8520782335236,1295.8676058354597,1250.7416445651738,1227.9220899284485,1229.4288623173989,1262.5148344137897,1252.6427760720042,1255.5304395516127
3.0,1319.1892922401016,1218.773889552232,2177.9480177290084,1348.8484747795906,1348.3280178706605,1311.3499789323748,1284.4906135307697,1291.4761287720096,1305.177150888957,1320.040707113852,1306.2701591611888
3.1,1388.980215249336,1292.6117865134386,914.638888036125,1398.422396284178,1401.9468251421638,1374.1703103840625,1343.9857178360242,1356.1825363234059,1351.4996509587331,1391.1191888899623,1358.564874478777
3.2,1458.423502397708,1371.6406596866282,1102.0615735885435,1450.3750223333789,1457.025508024075,1438.6453638001783,1405.9918118754974,1422.6867972405037,1402.3317072081506,1464.1749178536693,1411.9708921054603
3.3000000000000003,1526.6855163965236,1453.1062447127435,11024.924753170037,1505.2396416228498,1513.7586138890204,1504.1174569957386,1469.9567279946477,1490.1133951536422,1458.0861023216166,1537.493058747215,1466.134570689477
3.4000000000000004,1593.279427922266,1534.3375833196676,10283.816656159663,1563.132065550645,1572.1384904099527,1569.8302102475286,1535.205209466382,1557.6157052460653,1518.6263904202488,1609.494649584526,1520.867694763935
