Time (s),S13 X-position (mm),S14 X-position (mm),S15 X-position (mm),S16 X-position (mm),S17 X-position (mm),S18 X-position (mm),S19 X-position (mm),S20 X-position (mm),S21 X-position (mm),S22 X-position (mm),S23 X-position (mm)
0.0139,656.133,656.7,0.0,655.951,656.187,656.17,656.24,656.425,656.054,656.547,655.042
0.014,656.055,656.703,0.0,655.933,656.219,656.185,656.223,656.416,656.018,656.572,655.1
0.0141,656.055,656.672,0.0,655.943,656.186,656.159,656.207,656.388,656.012,656.579,655.085
0.0142,656.055,656.704,0.0,655.934,656.187,656.145,656.208,656.415,656.011,656.564,655.053
0.0143,656.067,656.701,0.0,655.969,656.195,656.151,656.232,656.407,656.037,656.555,655.095
0.0144,656.099,656.699,0.0,655.941,656.203,656.193,656.223,656.407,656.011,656.555,655.068
0.0145,656.147,656.724,0.0,655.928,656.187,656.135,656.224,656.427,656.059,656.582,655.062
0.0146,656.207,656.683,0.0,655.932,656.193,656.168,656.207,656.442,656.027,656.57,655.103
0.0147,656.191,656.719,0.0,655.943,656.195,656.141,656.258,656.417,656.019,656.562,655.049
0.0148,656.177,656.654,0.0,655.951,656.179,656.151,656.224,656.417,656.031,656.57,655.068
0.0149,656.218,656.716,0.0,655.952,656.188,656.145,656.203,656.409,656.02,656.565,655.092
0.015,656.249,656.682,0.0,655.952,656.178,656.166,656.231,656.413,656.034,656.562,655.076
0.0151,656.206,656.698,0.0,655.943,656.185,656.162,656.232,656.442,656.02,656.579,655.062
0.0152,656.024,656.707,0.0,655.95,656.176,656.175,656.217,656.409,656.019,656.572,655.066
0.0153,655.993,656.731,0.0,655.935,656.17,656.158,656.223,656.416,656.052,656.58,655.051
0.0154,656.034,656.725,0.0,655.953,656.195,656.16,656.225,656.415,656.044,656.558,655.052
0.0155,656.063,656.714,0.0,655.935,656.205,656.163,656.23,656.434,656.026,656.572,655.087
0.0156,656.0,656.706,0.0,655.969,656.193,656.145,656.24,656.38,656.011,656.545,655.092
0.0157,656.058,656.675,0.0,655.941,656.205,656.168,656.23,656.397,656.011,656.565,655.098
0.0158,656.025,656.682,0.0,655.943,656.168,656.147,656.224,656.424,656.019,656.569,655.076
0.0159,656.064,656.709,0.0,655.928,656.178,656.158,656.239,656.407,656.029,656.561,655.097
0.016,0.0,656.681,0.0,655.952,656.193,656.168,656.23,656.397,656.031,656.577,655.069
0.0161,656.147,656.66,0.0,655.948,656.188,656.153,656.223,656.407,656.027,656.543,655.077
0.0162,0.0,656.682,0.0,655.962,656.178,656.151,656.215,656.448,656.055,656.562,655.083
0.0163,0.0,656.687,0.0,655.935,656.184,656.153,656.22,656.399,656.056,656.564,655.077
0.0164,656.08,656.695,0.0,655.962,656.179,656.176,656.198,656.415,656.036,656.572,655.085
0.0165,0.0,656.706,0.0,655.934,656.177,656.153,656.232,656.375,656.05,656.557,655.068
0.0166,655.994,656.681,0.0,655.944,656.222,656.142,656.223,656.382,656.017,656.562,655.091
0.0167,656.137,656.705,0.0,655.942,656.194,656.157,656.199,656.396,656.037,656.539,655.087
0.0168,656.224,656.694,0.0,655.95,656.193,656.151,656.222,656.409,656.038,656.555,655.05
0.0169,656.199,656.701,0.0,655.954,656.193,656.143,656.232,656.401,656.019,656.547,655.091
0.017,656.162,656.73,0.0,655.96,656.18,656.143,656.223,656.38,656.017,656.581,655.059
0.0171,656.211,656.698,0.0,655.925,656.185,656.159,656.215,656.409,656.038,656.572,655.051
0.0172,656.103,656.684,0.0,655.927,656.189,656.143,656.2,656.412,656.036,656.522,655.068
0.0173,656.024,656.724,0.0,655.952,656.195,656.153,656.198,656.417,656.03,656.563,655.06
0.0174,656.162,656.674,0.0,655.958,656.185,656.161,656.233,656.415,656.02,656.557,655.093
0.0175,656.117,656.703,0.0,655.935,656.203,656.143,656.215,656.397,656.031,656.562,655.092
0.0176,656.056,656.714,0.0,655.941,656.17,656.151,656.217,656.417,656.058,656.547,655.078
0.0177,656.142,656.691,0.0,655.925,656.199,656.17,656.2,656.412,656.029,656.547,655.102
0.0178,656.214,656.683,0.0,655.943,656.195,656.149,656.225,656.416,656.029,656.562,655.077
0.0179,656.133,656.728,0.0,655.96,656.203,656.144,656.206,656.399,656.063,656.554,655.083
0.018,656.11,656.697,0.0,655.935,656.21,656.159,656.207,656.434,656.029,656.554,655.103
0.0181,656.059,656.697,0.0,655.933,656.195,656.151,656.221,656.407,656.023,656.57,655.094
0.0182,656.02,656.716,0.0,655.941,656.197,656.159,656.218,656.39,656.052,656.562,655.036
0.0183,656.012,656.689,0.0,655.942,656.178,656.145,656.241,656.406,656.026,656.564,655.102
0.0184,656.04,656.725,0.0,655.918,656.213,656.168,656.232,656.398,656.065,656.58,655.095
