Oscilloscope time (s), Measured current through all coilpairs (A)
0.052400,0.401250
0.052600,0.321250
0.052800,0.561250
0.053000,2.241250
0.053200,3.761250
0.053400,5.121250
0.053600,5.921250
0.053800,6.641250
0.054000,7.281250
0.054200,7.681250
0.054400,7.841250
0.054600,7.921250
0.054800,7.921250
0.055000,7.761250
0.055200,7.521250
0.055400,7.281250
0.055600,6.961250
0.055800,6.561250
0.056000,6.161250
0.056200,5.761250
0.056400,5.281250
0.056600,4.961250
0.056800,4.481250
0.057000,4.081250
0.057200,3.841250
0.057400,3.521250
0.057600,3.201250
0.057800,2.881250
0.058000,2.641250
0.058200,2.401250
0.058400,2.161250
0.058600,2.001250
0.058800,1.761250
0.059000,1.601250
0.059200,1.361250
0.059400,1.201250
0.059600,0.961250
0.059800,0.881250
0.060000,0.801250
0.060200,0.801250
0.060400,0.641250
0.060600,0.481250
0.060800,0.401250
0.061000,0.481250
0.061200,0.401250
0.061400,0.401250
0.061600,0.401250
0.061800,0.401250
0.062000,0.401250
0.062200,0.401250
0.062400,0.401250
0.062600,0.401250
0.062800,0.401250
0.063000,0.321250
0.063200,0.401250
0.063400,0.321250
0.063600,0.401250
0.063800,0.401250
0.064000,0.401250
0.064200,0.401250
0.064400,0.321250
0.064600,0.401250
0.064800,0.401250
0.065000,0.401250
0.065200,0.321250
0.065400,0.401250
0.065600,0.401250
0.065800,0.401250
0.066000,0.401250
0.066200,0.401250
0.066400,0.401250
0.066600,0.321250
0.066800,0.321250
0.067000,0.321250
0.067200,0.401250
0.067400,0.321250
0.067600,0.401250
0.067800,0.401250
0.068000,0.401250
0.068200,0.321250
0.068400,1.841250
0.068600,3.841250
0.068800,5.521250
0.069000,6.801250
0.069200,7.681250
0.069400,8.401250
0.069600,8.881250
0.069800,8.961250
0.070000,9.041250
0.070200,8.881250
0.070400,8.721250
0.070600,8.321250
0.070800,7.841250
0.071000,7.361250
0.071200,6.801250
0.071400,6.321250
0.071600,5.761250
0.071800,5.201250
0.072000,4.721250
0.072200,4.401250
0.072400,4.001250
0.072600,3.601250
0.072800,3.201250
0.073000,2.881250
0.073200,2.561250
0.073400,2.321250
0.073600,2.001250
0.073800,1.761250
0.074000,1.521250
0.074200,1.281250
0.074400,1.121250
0.074600,0.961250
0.074800,0.881250
0.075000,0.801250
0.075200,0.641250
0.075400,0.561250
0.075600,0.481250
0.075800,0.481250
0.076000,0.401250
0.076200,0.401250
0.076400,0.401250
0.076600,0.401250
0.076800,0.321250
0.077000,0.401250
0.077200,0.401250
0.077400,0.401250
0.077600,0.401250
0.077800,0.401250
0.078000,0.401250
0.078200,0.401250
0.078400,0.321250
0.078600,0.321250
0.078800,0.321250
0.079000,0.401250
0.079200,0.401250
0.079400,0.401250
0.079600,0.401250
0.079800,0.321250
0.080000,0.401250
0.080200,0.401250
0.080400,0.401250
0.080600,0.321250
0.080800,0.401250
0.081000,0.321250
0.081200,0.401250
0.081400,0.401250
0.081600,0.401250
0.081800,0.401250
0.082000,0.321250
0.082200,0.401250
0.082400,0.321250
0.082600,0.401250
0.082800,0.881250
0.083000,3.761250
0.083200,6.001250
0.083400,7.681250
0.083600,8.881250
0.083800,9.681250
0.084000,10.161250
0.084200,10.241250
0.084400,10.081250
0.084600,9.841250
0.084800,9.361250
0.085000,8.721250
0.085200,8.001250
0.085400,7.361250
0.085600,6.561250
0.085800,5.761250
0.086000,5.121250
0.086200,4.641250
0.086400,4.001250
0.086600,3.521250
0.086800,3.121250
0.087000,2.641250
0.087200,2.401250
0.087400,2.001250
0.087600,1.761250
0.087800,1.441250
0.088000,1.201250
0.088200,0.881250
0.088400,0.801250
0.088600,0.721250
0.088800,0.481250
0.089000,0.401250
0.089200,0.401250
0.089400,0.401250
0.089600,0.321250
0.089800,0.401250
