Oscilloscope time (s),Measured current through coilpair 1 (A)
-0.002000,0.481250
-0.001960,0.561250
-0.001920,0.481250
-0.001880,0.561250
-0.001840,0.481250
-0.001800,0.401250
-0.001760,0.481250
-0.001720,0.481250
-0.001680,0.481250
-0.001640,0.401250
-0.001600,0.481250
-0.001560,0.481250
-0.001520,0.561250
-0.001480,0.481250
-0.001440,0.561250
-0.001400,0.481250
-0.001360,0.481250
-0.001320,0.481250
-0.001280,0.481250
-0.001240,0.481250
-0.001200,0.481250
-0.001160,0.481250
-0.001120,0.481250
-0.001080,0.481250
-0.001040,0.561250
-0.001000,0.481250
-0.000960,0.481250
-0.000920,0.481250
-0.000880,0.481250
-0.000840,0.481250
-0.000800,0.561250
-0.000760,0.561250
-0.000720,0.481250
-0.000680,0.481250
-0.000640,0.481250
-0.000600,0.561250
-0.000560,0.481250
-0.000520,0.401250
-0.000480,0.481250
-0.000440,0.561250
-0.000400,0.401250
-0.000360,0.481250
-0.000320,0.481250
-0.000280,0.561250
-0.000240,0.801250
-0.000200,1.121250
-0.000160,1.521250
-0.000120,1.841250
-0.000080,2.241250
-0.000040,2.561250
0.000000,2.881250
0.000040,3.121250
0.000080,3.361250
0.000120,3.761250
0.000160,4.001250
0.000200,4.241250
0.000240,4.481250
0.000280,4.801250
0.000320,5.041250
0.000360,5.281250
0.000400,5.441250
0.000440,5.841250
0.000480,6.001250
0.000520,6.321250
0.000560,6.561250
0.000600,6.721250
0.000640,6.961250
0.000680,7.201250
0.000720,7.441250
0.000760,7.681250
0.000800,7.841250
0.000840,8.001250
0.000880,8.161250
0.000920,8.401250
0.000960,8.561250
0.001000,8.721250
0.001040,8.881250
0.001080,9.041250
0.001120,9.201250
0.001160,9.441250
0.001200,9.521250
0.001240,9.681250
0.001280,9.921250
0.001320,10.001250
0.001360,10.161250
0.001400,10.241250
0.001440,10.401250
0.001480,10.561250
0.001520,10.641250
0.001560,10.721250
0.001600,10.881250
0.001640,11.041250
0.001680,11.041250
0.001720,11.201250
0.001760,11.201250
0.001800,11.361250
0.001840,11.521250
0.001880,11.601250
0.001920,11.761250
0.001960,11.841250
0.002000,11.841250
0.002040,12.001250
0.002080,12.001250
0.002120,12.161250
0.002160,12.241250
0.002200,12.241250
0.002240,12.321250
0.002280,12.321250
0.002320,12.401250
0.002360,12.481250
0.002400,12.481250
0.002440,12.561250
0.002480,12.641250
0.002520,12.721250
0.002560,12.641250
0.002600,12.721250
0.002640,12.801250
0.002680,12.721250
0.002720,12.721250
0.002760,12.881250
0.002800,12.801250
0.002840,12.961250
0.002880,12.961250
0.002920,12.961250
0.002960,12.961250
0.003000,12.881250
