Oscilloscope time (s),Measured current through coil-pair 1 (A) with SD2
0.006400,3.321688
0.006440,3.321688
0.006480,3.281675
0.006520,3.321688
0.006560,3.241662
0.006600,3.161636
0.006640,3.201649
0.006680,3.081611
0.006720,3.081611
0.006760,3.121624
0.006800,3.121624
0.006840,3.081611
0.006880,3.001585
0.006920,3.001585
0.006960,3.041598
0.007000,2.961572
0.007040,2.921560
0.007080,2.921560
0.007120,2.921560
0.007160,2.881547
0.007200,2.921560
0.007240,2.841534
0.007280,2.801521
0.007320,2.841534
0.007360,2.801521
0.007400,2.721496
0.007440,2.681483
0.007480,2.681483
0.007520,2.681483
0.007560,2.641470
0.007600,2.601457
0.007640,2.641470
0.007680,2.561444
0.007720,2.601457
0.007760,2.561444
0.007800,2.601457
0.007840,2.521432
0.007880,2.481419
0.007920,2.521432
0.007960,2.441406
0.008000,2.441406
0.008040,2.361380
0.008080,2.401393
0.008120,2.361380
0.008160,2.361380
0.008200,2.321368
0.008240,2.281355
0.008280,2.241342
0.008320,2.241342
0.008360,2.241342
0.008400,2.201329
0.008440,2.201329
0.008480,2.161316
0.008520,2.161316
0.008560,2.081291
0.008600,2.081291
0.008640,2.081291
0.008680,2.081291
0.008720,2.081291
0.008760,2.041278
0.008800,2.001265
0.008840,2.001265
0.008880,2.001265
0.008920,1.961252
0.008960,2.001265
0.009000,1.961252
0.009040,1.961252
0.009080,1.881227
0.009120,1.881227
0.009160,1.881227
0.009200,1.881227
0.009240,1.841214
0.009280,1.801201
0.009320,1.761188
0.009360,1.761188
0.009400,1.721176
0.009440,1.761188
0.009480,1.761188
0.009520,1.721176
0.009560,1.681163
0.009600,1.681163
0.009640,1.641150
0.009680,1.641150
0.009720,1.601137
0.009760,1.601137
0.009800,1.561124
0.009840,1.561124
0.009880,1.521112
0.009920,1.521112
0.009960,1.521112
0.010000,1.521112
0.010040,1.521112
0.010080,1.481099
0.010120,1.481099
0.010160,1.441086
0.010200,1.441086
0.010240,1.401073
0.010280,1.441086
0.010320,1.441086
0.010360,1.361060
0.010400,1.361060
0.010440,1.321048
0.010480,1.361060
0.010520,1.281035
0.010560,1.281035
0.010600,1.241022
0.010640,1.281035
0.010680,1.281035
0.010720,1.241022
0.010760,1.281035
0.010800,1.201009
0.010840,1.201009
0.010880,1.201009
0.010920,1.120984
0.010960,1.160996
0.011000,1.201009
0.011040,1.120984
0.011080,1.120984
0.011120,1.080971
0.011160,1.080971
0.011200,1.120984
0.011240,1.080971
0.011280,1.080971
0.011320,1.080971
0.011360,1.040958
0.011400,1.040958
0.011440,1.040958
0.011480,1.040958
0.011520,0.960932
0.011560,1.000945
0.011600,0.960932
0.011640,0.960932
0.011680,0.960932
0.011720,0.960932
0.011760,0.960932
0.011800,0.880907
0.011840,0.920920
0.011880,0.880907
0.011920,0.880907
0.011960,0.880907
0.012000,0.920920
0.012040,0.920920
0.012080,0.880907
0.012120,0.880907
0.012160,0.880907
0.012200,0.840894
0.012240,0.840894
0.012280,0.840894
0.012320,0.880907
0.012360,0.840894
0.012400,0.840894
0.012440,0.760868
0.012480,0.800881
0.012520,0.760868
0.012560,0.760868
0.012600,0.760868
0.012640,0.720856
0.012680,0.720856
0.012720,0.720856
0.012760,0.720856
0.012800,0.720856
0.012840,0.720856
0.012880,0.720856
0.012920,0.720856
0.012960,0.720856
0.013000,0.640830
0.013040,0.720856
0.013080,0.600817
0.013120,0.640830
0.013160,0.680843
0.013200,0.680843
0.013240,0.640830
0.013280,0.640830
0.013320,0.640830
0.013360,0.640830
0.013400,0.680843
0.013440,0.640830
0.013480,0.640830
0.013520,0.600817
0.013560,0.640830
0.013600,0.600817
0.013640,0.520792
0.013680,0.560804
0.013720,0.600817
0.013760,0.600817
0.013800,0.600817
0.013840,0.560804
0.013880,0.600817
0.013920,0.600817
0.013960,0.520792
0.014000,0.560804
0.014040,0.600817
0.014080,0.560804
0.014120,0.600817
0.014160,0.560804
0.014200,0.480779
0.014240,0.600817
0.014280,0.560804
0.014320,0.520792
0.014360,0.560804
0.014400,0.560804
0.014440,0.520792
0.014480,0.480779
0.014520,0.560804
0.014560,0.520792
0.014600,0.520792
0.014640,0.480779
0.014680,0.560804
0.014720,0.480779
0.014760,0.480779
0.014800,0.520792
0.014840,0.520792
0.014880,0.560804
0.014920,0.480779
0.014960,0.400753
0.015000,0.520792
0.015040,0.480779
0.015080,0.520792
0.015120,0.480779
0.015160,0.520792
0.015200,0.440766
0.015240,0.520792
0.015280,0.520792
0.015320,0.480779
0.015360,0.480779
0.015400,0.440766
0.015440,0.480779
0.015480,0.480779
0.015520,0.440766
0.015560,0.480779
0.015600,0.480779
0.015640,0.480779
0.015680,0.480779
0.015720,0.400753
0.015760,0.480779
0.015800,0.440766
0.015840,0.440766
0.015880,0.480779
0.015920,0.440766
0.015960,0.440766
0.016000,0.440766
0.016040,0.480779
0.016080,0.440766
0.016120,0.440766
0.016160,0.480779
0.016200,0.480779
0.016240,0.480779
0.016280,0.480779
0.016320,0.440766
0.016360,0.440766
0.016400,0.480779
0.016440,0.440766
0.016480,0.440766
0.016520,0.440766
0.016560,0.480779
0.016600,0.480779
0.016640,0.480779
0.016680,0.440766
0.016720,0.480779
0.016760,0.440766
0.016800,0.480779
0.016840,0.480779
0.016880,0.440766
0.016920,0.440766
0.016960,0.400753
0.017000,0.480779
0.017040,0.480779
0.017080,0.480779
0.017120,0.480779
0.017160,0.480779
0.017200,0.440766
0.017240,0.440766
0.017280,0.400753
0.017320,0.400753
0.017360,0.480779
0.017400,0.480779
0.017440,0.480779
0.017480,0.480779
0.017520,0.480779
0.017560,0.480779
0.017600,0.440766
0.017640,0.480779
0.017680,0.480779
0.017720,0.520792
0.017760,0.480779
0.017800,0.480779
0.017840,0.480779
0.017880,0.480779
0.017920,0.480779
0.017960,0.520792
