Oscilloscope time (s),Measured current through coil-pair 1 (A) with SD2
-0.002000,0.400753
-0.001960,0.440766
-0.001920,0.400753
-0.001880,0.400753
-0.001840,0.440766
-0.001800,0.400753
-0.001760,0.400753
-0.001720,0.440766
-0.001680,0.400753
-0.001640,0.400753
-0.001600,0.400753
-0.001560,0.400753
-0.001520,0.400753
-0.001480,0.400753
-0.001440,0.360740
-0.001400,0.400753
-0.001360,0.400753
-0.001320,0.400753
-0.001280,0.400753
-0.001240,0.360740
-0.001200,0.360740
-0.001160,0.400753
-0.001120,0.400753
-0.001080,0.360740
-0.001040,0.400753
-0.001000,0.400753
-0.000960,0.360740
-0.000920,0.320728
-0.000880,0.360740
-0.000840,0.400753
-0.000800,0.360740
-0.000760,0.360740
-0.000720,0.360740
-0.000680,0.360740
-0.000640,0.320728
-0.000600,0.400753
-0.000560,0.440766
-0.000520,0.520792
-0.000480,0.680843
-0.000440,0.840894
-0.000400,0.880907
-0.000360,1.000945
-0.000320,1.120984
-0.000280,1.281035
-0.000240,1.321048
-0.000200,1.441086
-0.000160,1.521112
-0.000120,1.601137
-0.000080,1.721176
-0.000040,1.801201
0.000000,1.881227
0.000040,1.961252
0.000080,2.041278
0.000120,2.121304
0.000160,2.201329
0.000200,2.281355
0.000240,2.361380
0.000280,2.481419
0.000320,2.561444
0.000360,2.601457
0.000400,2.681483
0.000440,2.721496
0.000480,2.761508
0.000520,2.841534
0.000560,2.961572
0.000600,3.041598
0.000640,3.041598
0.000680,3.161636
0.000720,3.161636
0.000760,3.241662
0.000800,3.321688
0.000840,3.361700
0.000880,3.481739
0.000920,3.481739
0.000960,3.521752
0.001000,3.601777
0.001040,3.641790
0.001080,3.721816
0.001120,3.761828
0.001160,3.761828
0.001200,3.841854
0.001240,3.881867
0.001280,3.921880
0.001320,3.961892
0.001360,3.961892
0.001400,4.001905
0.001440,4.081931
0.001480,4.041918
0.001520,4.121944
0.001560,4.161956
0.001600,4.201969
0.001640,4.201969
0.001680,4.322008
0.001720,4.281995
0.001760,4.281995
0.001800,4.362020
0.001840,4.402033
0.001880,4.402033
0.001920,4.442046
0.001960,4.402033
0.002000,4.482059
0.002040,4.482059
0.002080,4.522072
0.002120,4.482059
0.002160,4.522072
0.002200,4.522072
0.002240,4.602097
0.002280,4.562084
0.002320,4.602097
0.002360,4.602097
0.002400,4.562084
0.002440,4.682123
0.002480,4.642110
0.002520,4.642110
0.002560,4.642110
0.002600,4.682123
0.002640,4.682123
0.002680,4.642110
0.002720,4.682123
0.002760,4.682123
0.002800,4.642110
0.002840,4.642110
0.002880,4.682123
0.002920,4.682123
0.002960,4.722136
0.003000,4.682123
0.003040,4.682123
0.003080,4.722136
0.003120,4.682123
0.003160,4.682123
0.003200,4.682123
0.003240,4.682123
0.003280,4.682123
0.003320,4.602097
0.003360,4.602097
0.003400,4.642110
0.003440,4.602097
0.003480,4.642110
0.003520,4.562084
0.003560,4.642110
0.003600,4.642110
0.003640,4.602097
0.003680,4.602097
0.003720,4.602097
0.003760,4.522072
0.003800,4.602097
0.003840,4.522072
0.003880,4.482059
0.003920,4.482059
0.003960,4.522072
0.004000,4.522072
0.004040,4.482059
0.004080,4.482059
0.004120,4.482059
0.004160,4.442046
0.004200,4.482059
0.004240,4.442046
0.004280,4.402033
0.004320,4.402033
0.004360,4.362020
0.004400,4.362020
0.004440,4.362020
0.004480,4.362020
0.004520,4.322008
0.004560,4.281995
0.004600,4.241982
0.004640,4.241982
0.004680,4.241982
0.004720,4.241982
0.004760,4.201969
0.004800,4.121944
0.004840,4.121944
0.004880,4.121944
0.004920,4.081931
0.004960,4.081931
0.005000,4.001905
0.005040,4.001905
0.005080,4.081931
0.005120,4.001905
0.005160,4.001905
0.005200,3.961892
0.005240,3.961892
0.005280,3.921880
0.005320,3.881867
0.005360,3.881867
0.005400,3.841854
0.005440,3.841854
0.005480,3.841854
0.005520,3.841854
0.005560,3.801841
0.005600,3.801841
0.005640,3.681803
0.005680,3.761828
0.005720,3.681803
0.005760,3.641790
0.005800,3.681803
0.005840,3.641790
0.005880,3.681803
0.005920,3.601777
0.005960,3.521752
0.006000,3.521752
0.006040,3.521752
0.006080,3.521752
0.006120,3.441726
0.006160,3.481739
0.006200,3.481739
0.006240,3.401713
0.006280,3.361700
0.006320,3.321688
0.006360,3.321688
