Oscilloscope time (s),Measured current through coil-pair 2 (A) with SD2
0.017160,0.401250
0.017200,0.401250
0.017240,0.401250
0.017280,0.401250
0.017320,0.401250
0.017360,0.401250
0.017400,0.401250
0.017440,0.401250
0.017480,0.401250
0.017520,0.401250
0.017560,0.401250
0.017600,0.321250
0.017640,0.321250
0.017680,0.401250
0.017720,0.401250
0.017760,0.401250
0.017800,0.401250
0.017840,0.401250
0.017880,0.401250
0.017920,0.321250
0.017960,0.401250
