Oscilloscope time (s),Measured current through coilpair 2 (A)
-0.002000,0.481250
-0.001960,0.561250
-0.001920,0.481250
-0.001880,0.481250
-0.001840,0.561250
-0.001800,0.401250
-0.001760,0.481250
-0.001720,0.481250
-0.001680,0.481250
-0.001640,0.401250
-0.001600,0.561250
-0.001560,0.561250
-0.001520,0.481250
-0.001480,0.481250
-0.001440,0.561250
-0.001400,0.561250
-0.001360,0.561250
-0.001320,0.561250
-0.001280,0.561250
-0.001240,0.561250
-0.001200,0.481250
-0.001160,0.481250
-0.001120,0.561250
-0.001080,0.481250
-0.001040,0.481250
-0.001000,0.561250
-0.000960,0.481250
-0.000920,0.561250
-0.000880,0.481250
-0.000840,0.481250
-0.000800,0.481250
-0.000760,0.481250
-0.000720,0.481250
-0.000680,0.481250
-0.000640,0.481250
-0.000600,0.481250
-0.000560,0.481250
-0.000520,0.481250
-0.000480,0.481250
-0.000440,0.481250
-0.000400,0.481250
-0.000360,0.481250
-0.000320,0.561250
-0.000280,0.481250
-0.000240,0.481250
-0.000200,0.561250
-0.000160,0.481250
-0.000120,0.881250
-0.000080,1.601250
-0.000040,2.241250
0.000000,2.801250
0.000040,3.361250
0.000080,3.921250
0.000120,4.561250
0.000160,5.041250
0.000200,5.601250
0.000240,6.081250
0.000280,6.641250
0.000320,7.121250
0.000360,7.521250
0.000400,8.001250
0.000440,8.481250
0.000480,8.801250
0.000520,9.281250
0.000560,9.761250
0.000600,10.081250
0.000640,10.481250
0.000680,10.881250
0.000720,11.281250
0.000760,11.601250
0.000800,11.921250
0.000840,12.321250
0.000880,12.561250
0.000920,12.881250
0.000960,13.201250
0.001000,13.601250
0.001040,13.841250
0.001080,14.241250
0.001120,14.481250
0.001160,14.801250
0.001200,15.121250
0.001240,15.361250
0.001280,15.601250
0.001320,15.761250
0.001360,16.001250
0.001400,16.161250
0.001440,16.321250
0.001480,16.561250
0.001520,16.641250
0.001560,16.641250
0.001600,16.641250
0.001640,16.641250
0.001680,16.641250
0.001720,16.641250
0.001760,16.641250
0.001800,16.641250
0.001840,16.641250
0.001880,16.641250
0.001920,16.641250
0.001960,16.641250
0.002000,16.641250
0.002040,16.641250
0.002080,16.641250
0.002120,16.641250
0.002160,16.641250
0.002200,16.641250
0.002240,16.641250
0.002280,16.641250
0.002320,16.641250
0.002360,16.641250
0.002400,16.641250
0.002440,16.641250
0.002480,16.641250
0.002520,16.641250
0.002560,16.641250
0.002600,16.641250
0.002640,16.641250
0.002680,16.641250
0.002720,16.641250
0.002760,16.641250
0.002800,16.641250
0.002840,16.641250
0.002880,16.641250
0.002920,16.641250
0.002960,16.641250
0.003000,16.641250
