Kinetic energy (J),Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s)
1.2862887830089556e-06,-4.5,-0.003298834310612525,-0.02911699778508053,-0.00825910948037721,0.005598608553895996,0.002541224586707285,0.0011533692537568309,-0.0015657121429057503,-0.003874071904874543,0.0004734190804356195,0.004194918834059416,-0.004133992101742361
7.873462758546693e-07,-4.4,-0.0025809176673304898,-0.029031670957237188,-0.0069857670212057025,0.006430162712831405,0.001527228200757192,0.0025934499996082363,-0.0004006988638138749,-0.004498179815755561,0.0005167525591786978,0.00678992351652216,-0.0027503770041902623
3.1570864423605015e-07,-4.3,-0.0016343102267913124,-0.027394646241421756,-0.005246166413712522,0.006963824648664541,0.0006827085343275781,0.004164022268469583,0.0008437826767250064,-0.0047560567406888824,0.0007197856172069599,0.008922830119217651,-0.0012431867367012827
3.841367207384958e-08,-4.2,-0.0005700778590948779,-0.024566837794281333,-0.0030203544110917434,0.00702961937861326,6.534424471737834e-05,0.005717943561194098,0.0019995822719919825,-0.004603646212330982,0.0010237606932151939,0.010373173419111184,0.00028063625791218435
2.7838876702131576e-08,-4.1000000000000005,0.0004853076256950809,-0.020950812303225885,-0.0003973568988158587,0.006524009021405427,-0.00035336114535765675,0.0070575284604499555,0.002935236011012337,-0.004032828293247688,0.0013537417117958806,0.011015772755626724,0.0017011469373075724
2.3444960139015385e-07,-4.0,0.001408367553494947,-0.016905872244023585,0.002422282387897143,0.0054122626664819375,-0.0006619111979943947,0.007969695435577673,0.0035969227900526997,-0.003105049917735325,0.0016233288613420418,0.010829474288697983,0.0029025424646532965
5.229263895181869e-07,-3.9000000000000004,0.002103349977915109,-0.012656809871031875,0.005155985184614872,0.0037587527276626877,-0.0009742433582004827,0.008268160037232283,0.00399277292672184,-0.00194220234902808,0.0017625090396222228,0.009893060922651055,0.003775514518906567
7.406771910575498e-07,-3.8000000000000003,0.0025032587746520877,-0.008384253699774503,0.007468042779805514,0.001707911860648843,-0.0013954871980105682,0.00785227868902871,0.004164809784015114,-0.0006959114307391956,0.00171436124844599,0.008361498273074846,0.004239337440026126
7.969534331247256e-07,-3.7,0.002596616034736455,-0.004082505612359338,0.009042083257781736,-0.0005341020573723501,-0.001978095319259353,0.006724978691749846,0.004193064899595691,0.00046972812356214965,0.00144301670218299,0.0064313491594692246,0.004256642502013953
6.894394604249768e-07,-3.6,0.002415123424214096,0.0002984814557294072,0.009633409782737695,-0.0027247347509276824,-0.0027080653848087556,0.0049886943583031486,0.0041667095734964,0.0014288856294796962,0.000949860220771343,0.004290778654762894,0.0038272147025968147
