Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s),Simulated time 1 (ms), Simulated speed 1 (m/s), Simulated current 1 (A),Simulated time 2 (ms), Simulated speed 2 (m/s), Simulated current 2 (A),Simulated time 3 (ms), Simulated speed 3 (m/s), Simulated current 3 (A),Simulated time 4 (ms), Simulated speed 4 (m/s), Simulated current 4 (A),Simulated time 5 (ms), Simulated speed 5 (m/s), Simulated current 5 (A),Unnamed: 15
-4.5,-0.003298834310612525,-0.02911699778508053,-0.008259109480377209,0.0055986085538959965,0.002541224586707285,0.0011533692537568307,-0.0015657121429057505,-0.003874071904874543,0.0004734190804356195,0.004194918834059416,-0.004133992101742361,0.0,0.0,0.0,34.0,3.6,0.0,53.812,5.8,0.0,69.0,7.4,0.0,83.735,8.8,0.0,
-4.4,-0.0025809176673304893,-0.029031670957237188,-0.006985767021205703,0.006430162712831405,0.001527228200757192,0.0025934499996082363,-0.00040069886381387487,-0.004498179815755561,0.0005167525591786978,0.00678992351652216,-0.0027503770041902623,0.06885335,0.0008325523,0.9823648000000001,34.042390000000005,3.6003830000000003,1.251891,53.83679,5.80013,1.3002120000000001,69.01894,7.4000580000000005,1.320244,83.74951,8.800035000000001,1.332997,
-4.3,-0.0016343102267913124,-0.02739464624142176,-0.005246166413712522,0.006963824648664541,0.0006827085343275781,0.004164022268469583,0.0008437826767250064,-0.0047560567406888824,0.0007197856172069598,0.008922830119217651,-0.0012431867367012827,0.5569188,0.05072199,7.130195,34.35366,3.6266410000000002,9.504599,54.055130000000005,5.8131900000000005,11.7281,69.20304,7.407466,13.076080000000001,83.89461999999999,8.804805,13.67464,
-4.2,-0.0005700778590948778,-0.024566837794281333,-0.0030203544110917434,0.0070296193786132605,6.534424471737835e-05,0.005717943561194098,0.0019995822719919825,-0.004603646212330982,0.0010237606932151939,0.010373173419111184,0.00028063625791218435,1.186464,0.20992110000000003,13.14388,34.7737,3.7261029999999997,18.21459,54.360580000000006,5.871176999999999,23.41028,69.46552,7.444583000000001,26.63005,84.11894000000001,8.832512,29.37063,
-4.1000000000000005,0.00048530762569508085,-0.020950812303225885,-0.0003973568988158587,0.006524009021405428,-0.00035336114535765675,0.007057528460449956,0.0029352360110123372,-0.004032828293247688,0.0013537417117958804,0.011015772755626723,0.0017011469373075724,1.892391,0.48190070000000007,17.70423,35.25931,3.9250190000000003,25.24614,54.7151,6.000853,33.16695,69.77068,7.5364320000000005,38.098440000000004,84.38123,8.90597,42.946979999999996,
-4.0,0.0014083675534949471,-0.016905872244023585,0.002422282387897143,0.005412262666481938,-0.0006619111979943947,0.007969695435577673,0.0035969227900527,-0.003105049917735325,0.0016233288613420418,0.010829474288697984,0.0029025424646532965,2.6514159999999998,0.8485729999999999,20.51478,35.79674,4.230586,29.85711,55.10654,6.217872,39.87911,70.10722,7.703828,46.11078,84.67052,9.04606,52.67402,
-3.9,0.002103349977915109,-0.012656809871031877,0.005155985184614872,0.003758752727662688,-0.0009742433582004828,0.008268160037232283,0.00399277292672184,-0.0019422023490280802,0.0017625090396222226,0.009893060922651057,0.0037755145189065672,3.4540290000000002,1.286573,21.65326,36.38071,4.629125,31.87449,55.52965,6.519371,43.22873,70.47010999999999,7.952789,50.252140000000004,84.98196,9.261016999999999,57.995540000000005,
-3.8,0.002503258774652088,-0.008384253699774503,0.007468042779805514,0.0017079118606488429,-0.0013954871980105682,0.00785227868902871,0.004164809784015114,-0.0006959114307391956,0.00171436124844599,0.008361498273074846,0.004239337440026126,4.292342,1.7693279999999998,21.3578,37.00949,5.08369,31.46915,55.98301,6.879633,43.37283,70.85754,8.265935,50.67778,85.31384,9.537248,59.03661999999999,
-3.7,0.002596616034736455,-0.004082505612359338,0.009042083257781736,-0.0005341020573723501,-0.001978095319259353,0.006724978691749846,0.00419306489959569,0.0004697281235621497,0.00144301670218299,0.006431349159469225,0.004256642502013953,5.156043,2.266218,19.959629999999997,37.67877,5.534596,29.07747,56.467769999999994,7.25292,40.77109,71.27062,8.60315,47.90429,85.66726,9.839400999999999,56.34124,
-3.6,0.002415123424214096,0.0002984814557294072,0.009633409782737695,-0.0027247347509276824,-0.002708065384808756,0.004988694358303149,0.0041667095734964,0.0014288856294796962,0.000949860220771343,0.0042907786547628935,0.0038272147025968147,6.032625,2.743893,17.83395,38.35606,5.9058720000000005,25.49325,56.98056999999999,7.582476,36.13919,71.71185,8.912684,42.66685,86.04656,10.12167,50.661840000000005,
-3.5,0.0018619489322117286,0.00315520858445482,0.009145892709058088,-0.004637328609646696,-0.0035052869418449426,0.002844871190746148,0.0041661066887859356,0.0021031798871717308,0.0002631315328471753,0.0020879931622632764,0.0029957211182817496,6.910017999999999,3.171289,15.341610000000001,38.999190000000006,6.158716,21.6502,57.4819,7.814757000000001,30.728690000000004,72.15213,9.138397,36.29945,86.43365,10.33339,43.32182,
-3.4000000000000004,0.0010442835370838603,0.004602645063016421,0.007626671007869627,-0.006084572650024537,-0.004238708828552141,0.0005510789128493187,0.0042521051472020795,0.0024898013850818647,-0.0005405559528526129,-6.886380276683515e-05,0.0018532350890154167,7.777475999999999,3.525495,12.7841,39.61043,6.312963,17.99486,57.954209999999996,7.954699000000001,25.46435,72.56685,9.274223,30.04455,86.80082,10.46101,35.89829,
-3.3000000000000003,0.0005136657758270164,0.009061270080792544,0.005269516876182052,-0.006956317041044514,-0.004755989134537755,-0.0016373445765793335,0.004459346715748197,0.002644173077328484,-0.0013495914004124257,-0.0021086528647628567,0.0005102460255557722,8.626897,3.7967400000000002,10.37792,40.20225,6.39725,14.674629999999999,58.40436,8.031303999999999,20.65178,72.95976,9.347932,24.32764,87.14650999999999,10.52923,29.05798,
-3.2,0.0004875910486247935,0.017679542014547626,0.00236021642706412,-0.007232104719036917,-0.004934052821567861,-0.0035019160600312624,0.0047823882022156325,0.0026563053279459532,-0.0020461508557903,-0.0039834191142061855,-0.0009048979148928735,9.455587,3.9890849999999998,8.245706,40.78083,6.434273,11.75425,58.83663000000001,8.067897,16.40909,73.33475,9.383392,19.29128,87.47338,10.56173,23.0209,
