Calculated Delta v_21 (m/s) at times t1: 35 (ms) and t2: 58 (ms),Stage 2: DX distance (mm)
1.6273507324617746,32.0
1.8044617848032942,33.0
1.8385360290599273,34.0
1.950497430804548,35.0
2.0819585693325253,36.0
2.131772893441674,37.0
2.1783342486215758,38.0
2.2186390557046636,39.0
2.187681340865532,40.0
2.092091003505285,41.0
2.075168825604916,42.0
2.084074452454783,43.0
2.103202835173416,44.0
