Calculated Delta v_21 (m/s),Stage 2: DX distance (mm)
1.6187177690491232,32.0
1.7694157901737206,33.0
1.837792045734492,34.0
1.9033386138763744,35.0
2.120040249761133,36.0
2.06602815377431,37.0
2.147643414206694,38.0
2.181981031597723,39.0
2.1435132765548657,40.0
2.066113572136257,41.0
2.0234653603088177,42.0
2.0658573308568267,43.0
2.063779819201782,44.0
